fill,nbx,lumi pb-1,ilumi fb-1,run1,Era,Notes
6180,1908,13.787,63.045,302513,,
6182,1909,269.647,63.058,302522,,
6185,1908,83.287,63.328,302548,,
6186,1909,316.019,63.411,302563,,
6189,1909,339.016,63.727,302596,,
6191,1908,330.306,64.066,302634,,
6192,1908,111.049,64.397,302646,,
6193,1909,164.197,64.508,302660,,
6194,210,16.309,64.672,302674,,
6230,0,0.025,64.688,303719,,
6236,0,3.451,64.688,303790,,
6238,0,15.959,64.692,303817,,
6239,0,149.592,64.708,303824,,
6240,1909,344.772,64.857,303832,,
6241,1909,416.454,65.202,303838,,
6243,1909,432.487,65.618,303885,,
6245,1909,420.569,66.051,303948,,
6247,1909,285.285,66.471,303998,,
6252,1909,399.206,66.757,304062,,
6253,1909,457.127,67.156,304119,,
6255,1909,563.49,67.613,304144,,
6258,1909,390.332,68.177,304158,,
6259,1909,435.79,68.567,304169,,
6261,1909,150.708,69.003,304196,,
6262,1909,164.119,69.153,304204,,
6263,1909,133.97,69.318,304209,,
6266,1824,389.824,69.452,304291,,
6268,1824,386.644,69.841,304333,,
6269,1824,73.362,70.228,304354,,
6271,1824,441.14,70.301,304366,,
6272,1824,437.662,70.742,304446,,
6275,1866,468.66,71.180,304505,,
6276,1866,237.84,71.649,304562,,
6278,1866,272.193,71.887,304616,,
6279,1866,161.1,72.159,304625,,
6283,1866,450.768,72.320,304654,,
6284,1866,300.146,72.771,304661,,
6285,1866,342.321,73.071,304671,,
6287,1866,501.975,73.413,304737,,
6288,1866,463.678,73.915,304776,,
6291,1866,587.583,74.379,304797,,
6294,8,0,74.966,304880,,XeXe fill
6295,8,6.306955,74.966,304899,,XeXe fill
6297,1866,501.929,74.973,305040,,
6298,1866,595.199,75.475,305059,,
6300,1866,335.447,76.070,305081,,
6303,1866,526.727,76.405,305112,,
6304,1866,494.546,76.932,305178,,
6305,1866,525.025,77.427,305202,,
6306,1866,420.718,77.952,305207,,
6307,1866,392.89,78.372,305234,,
6308,1866,521.903,78.765,305247,,
6309,1866,48.837,79.287,305282,,
6311,1866,525.553,79.336,305310,,
6312,1866,472.817,79.861,305336,,
6313,1866,70.211,80.334,305358,,
6314,1866,546.641,80.405,305364,,
6315,1866,471.719,80.951,305376,,
6317,1866,518.954,81.423,305405,,
6318,1866,133.144,81.942,305440,,
6323,1866,501.889,82.075,305516,,
6324,1866,591.185,82.577,305586,,
6325,1866,552.883,83.168,305636,,
6336,140,14.507,83.721,305745,,
6337,1866,279.24,83.735,305766,,
6341,1866,49.629,84.015,305809,,
6343,1866,471.777,84.064,305814,,
6344,1866,255.26,84.536,305821,,
6346,1866,607.629,84.791,305832,,
6347,1866,212.95,85.399,305862,,
6348,1866,241.251,85.612,305898,,
6349,1866,162.265,85.853,305902,,
6351,1866,52.451,86.015,305965,,
6355,1866,50.718,86.068,306029,,
6356,1866,486.663,86.119,306036,,
6358,1866,555.801,86.605,306091,,
6360,1866,703.033,87.161,306121,,
6362,1866,712.628,87.864,306134,,
6364,1866,743.788,88.577,306153,,
6370,1866,374.447,89.321,306416,,
6371,1866,680.818,89.695,306454,,
6380,22,0.105,90.376,306546,,
6381,512,4.17,90.376,306553,,
6382,1280,2.602,90.380,306563,,
6384,1280,22.747,90.383,306572,,
6385,1828,57.225,90.405,306580,,
6386,1823,36.592,90.463,306629,,
6387,1824,0.123,90.499,306636,,
6388,1824,1.161,90.499,306645,,
6389,1824,24.135,90.501,306651,,
6390,1824,26.721,90.525,306705,,
6392,1824,29.1,90.551,306709,,
6396,1280,40.916,90.580,306772,,
6397,1536,47.326,90.621,306793,,
